ID,Solutionlist,Savedsolutions,Savedobjectives,parametername,parameterbounds,objectivebounds,objectivename,parameter_timestamp,objective_timestamp,prolific_ID,saved_timestamp,objectiveminmax,ismanual,taskdescription,chosen_solution,start_timestamp,tutorial,randomizerstatus,pass,tutorial_timestamp
11,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5faf92156055b1232afd56b9,"""""","""""",1,"""""","""""","""""","""""",1,3,""""""
12,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66e848eb1f30b2d45bf99441,"""""","""""",0,"""""","""""","""2024-09-18 21:13:44""","""2""",2,3,""""""
13,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65410a2c2b4782dbdb520075,"""""","""""",0,"""""","""""","""2024-09-18 21:21:20""","""1""",1,3,"""2024-09-18 21:22:31"""
14,"""""","""""","""""","""""","""""","""""","""""","""""","""""",63e51bd397b0f5edcbf78895,"""""","""""",1,"""""","""""","""2024-09-18 21:12:09""","""1""",2,3,"""2024-09-18 21:14:19"""
15,"""""","""""","""""","""""","""""","""""","""""","""""","""""",659ec74985ba1ac6855e8c1d,"""""","""""",1,"""""","""""","""2024-09-18 21:16:08""","""2""",1,3,""""""
16,"""""","""""","""""","""""","""""","""""","""""","""""","""""",669f46f8978a389ebaf69fe6,"""""","""""",0,"""""","""""","""2024-09-18 21:12:39""","""1""",2,3,""""""
17,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66671efea1d2ad8638b04501,"""""","""""",1,"""""","""""","""2024-09-18 21:15:04""","""2""",1,3,"""2024-09-18 21:14:57"""
18,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66081dfeb270eeac2df96a49,"""""","""""",0,"""""","""""","""2024-09-18 21:19:20""","""2""",2,3,"""2024-09-18 21:19:09"""
19,"""""","""""","""""","""""","""""","""""","""""","""""","""""",60f86773e1cc7868421ee9d8,"""""","""""",1,"""""","""""","""2024-09-18 21:23:57""","""2""",1,3,""""""
20,"""1918,70,2131,50,2073,62,2005,58,2044,64,2108,56,1982,66,2161,53,2153,53,2056,52,2186,53,2191,51,1929,59,1920,59,1991,53,2051,52,1914,55,1965,64,2158,52,1952,56,1990,67""","""1918,70,2131,50,2073,62,2005,58,2044,64,2108,56,2161,53,1929,59,1914,55,1952,56""","""73,53,74,55,74,54,73,53,73,52,74,54,75,55,72,54,72,54,74,54""","""Calories income/kcal,Fat/g""","""1900,2200,50,70""","""70,75,50,55""","""Weight goal/kg,Muscle mass/kg""","""2024-09-18 21:20:56""","""2024-09-18 21:21:51""",6022f103d0d67511101bebdc,"""2024-09-18 21:28:15""","""minimize,minimize""",0,"""failed comprehension check""","""8""","""2024-09-18 21:18:19""","""2""",2,0,"""2024-09-18 21:17:40"""
21,"""""","""""","""""","""""","""""","""""","""""","""""","""""",61260e2741183100f61d0382,"""""","""""",0,"""""","""""","""2024-09-18 21:13:04""","""1""",1,3,""""""
22,"""""","""""","""""","""""","""""","""""","""""","""""","""""",614f753d37f17bce7ce647f6,"""""","""""",1,"""""","""""","""2024-09-18 21:13:13""","""1""",2,3,""""""
23,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66b76b1b66f3031ebabeaddf,"""""","""""",1,"""""","""""","""2024-09-18 21:35:19""","""2""",1,3,""""""
24,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6627c1ab5529cf206720ded9,"""""","""""",0,"""""","""""","""2024-09-18 21:17:18""","""2""",2,3,""""""
25,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5b146e7bc85dc40001624518,"""""","""""",1,"""""","""""","""2024-09-18 21:14:30""","""1""",1,3,"""2024-09-18 21:23:03"""
26,"""""","""""","""""","""""","""""","""""","""""","""""","""""",669e1bf7a92a6f31f7200317,"""""","""""",0,"""""","""""","""2024-09-18 22:05:56""","""1""",2,3,"""2024-09-18 22:07:55"""
27,"""""","""""","""""","""""","""""","""""","""""","""""","""""",665eec69c90c4681be54f707,"""""","""""",0,"""""","""""","""2024-09-18 21:18:59""","""2""",1,3,""""""
28,"""""","""""","""""","""""","""""","""""","""""","""""","""""",613a1c2b27a44b46ca15471e,"""""","""""",1,"""""","""""","""""","""""",2,3,""""""
29,"""2247,44,62,93,2603,59,46,67,2874,47,64,83,2479,61,50,58,2273,50,43,51,2879,64,57,77,2645,40,53,73,2000,54,69,98,2078,49,51,81,2692,60,67,53,2633,53,53,73,2520,43,70,64,2971,41,45,73,2303,43,69,62,2047,47,62,89,2636,57,53,73,2174,48,58,59,2138,47,59,58,2104,46,60,57,2059,45,61,56,2026,44,62,55,2014,43,63,54,2012,42,64,53,2634,62,64,56,2065,60,67,77,2034,59,68,76""","""2247,44,62,93,2603,59,46,67,2874,47,64,83,2479,61,50,58,2273,50,43,51,2879,64,57,77,2645,40,53,73,2000,54,69,98,2078,49,51,81,2692,60,67,53,2047,47,62,89,2174,48,58,59,2138,47,59,58,2104,46,60,57,2059,45,61,56,2026,44,62,55,2014,43,63,54,2065,60,67,77""","""450,80,12,600,75,10,300,85,10,400,80,14,500,85,13,300,85,10,330,77,11,540,79,11,490,81,13,550,80,13,330,76,11,330,76,10,320,76,11,300,75,10,350,77,11,325,76,10,350,75,10,450,79,13""","""calories/kcal,fat/g,carbohydrate/g,protein/g""","""2000,3000,40,65,40,70,50,100""","""300,600,75,85,10,14""","""cost/month/dollar,weight/kg,body fat/%""","""2024-09-18 21:23:24""","""2024-09-18 21:24:56""",66e31e591fa1dcdd96feaadf,"""2024-09-18 21:33:02""","""minimize,minimize,minimize""",0,"""""","""""","""2024-09-18 21:13:53""","""1""",1,1,"""2024-09-18 21:16:57"""
30,"""2000,5,2000,5,2000,5,2200,6,2300,6,2400,6,2100,5,1600,3,2500,5,1500,3""","""2000,5,2000,5,2000,5,2200,6,2300,6,2400,6,2100,5,1600,3,2500,5,1500,3""","""2000,5,2000,5,2000,5,2200,6,2300,6,2400,6,2100,5,1600,3,2500,5,1500,3""","""Caloric Intake/kcal,Meal frequency/meals""","""1500,2500,3,6""","""1500,2500,3,6""","""Weight Loss/Kg,Overall Health""","""2024-09-18 21:22:03""","""2024-09-18 21:24:26""",66d0a6841fce4dd0253e44af,"""2024-09-18 21:32:12""","""minimize,maximize""",1,"""""","""9""","""2024-09-18 21:14:23""","""1""",2,1,"""2024-09-18 21:16:11"""
31,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66c89785ce8e3fec899c06f2,"""""","""""",0,"""""","""""","""2024-09-18 21:15:29""","""1""",1,0,"""2024-09-18 21:16:20"""
32,"""2500,0,1000,100,2000,50,1800,20,1950,90,1500,10,1300,75,2250,90,2100,30,1400,20""","""2500,0,1000,100,2000,50,1800,20,1950,90,1500,10,1300,75,2250,90,2100,30,1400,20""","""0,0,5,10,1,4,2,2,1,5,4,3,4,7,0.5,3,1,3,4,4""","""kcal,food healthiness""","""1000,2500,0,100""","""0,5,0,10""","""weight lost/kg/month,chance of a cheat meal""","""2024-09-18 21:40:35""","""2024-09-18 21:41:18""",5f3a5f056c8c8f631e3ae793,"""2024-09-18 21:48:07""","""maximize,minimize""",1,"""""","""5""","""2024-09-18 21:28:12""","""2""",2,1,"""2024-09-18 21:24:08"""
33,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66b76c1a8425a6fff0ac88d7,"""""","""""",1,"""""","""""","""2024-09-18 21:15:40""","""1""",1,3,"""2024-09-18 21:26:28"""
34,"""149,1,466,89,348,26,267,65,217,40,399,50,219,91,200,96,180,100,160,100,100,95,100,98""","""149,1,466,89,348,26,267,65,217,40,399,50,219,91,200,96,180,100,160,100,100,95""","""15,0,1,80,7,25,15,70,14,50,5,40,16,95,17,100,18,100,19,99,20,98""","""calories consumed per meal/cal,healthiness of a meal/percent""","""100,500,0,100""","""0,20,0,100""","""weight loss/kg,staying healthy/percent""","""2024-09-18 21:58:30""","""2024-09-18 21:58:36""",66805286ec5f99be20538b6e,"""2024-09-18 22:07:22""","""maximize,maximize""",0,"""""","""9""","""2024-09-18 21:16:38""","""1""",2,1,"""2024-09-18 21:29:47"""
35,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6512b5180ab541a0603e7ada,"""""","""""",0,"""""","""""","""2024-09-18 21:23:22""","""2""",1,3,""""""
36,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6140ce597b9f121e7170511f,"""""","""""",1,"""""","""""","""2024-09-18 21:17:23""","""1""",2,0,"""2024-09-18 21:25:17"""
37,"""1000,4,5,3000,7,1,500,1,6,1200,5,6,2500,3,5,1500,3,4,800,2,7,1000,3,6,2800,7,1,2000,5,7,1600,4,3,2600,3,1,700,3,4,1400,5,5""","""1000,4,5,3000,7,1,500,1,6,1200,5,6,2500,3,5,1500,3,4,800,2,7,1000,3,6,2800,7,1,2000,5,7,1600,4,3,2600,3,1,700,3,4,1400,5,5""","""55,100,100,60,50,200,60,120,85,80,65,150,70,200,50,60,100,210,80,180,70,120,90,90,55,100,50,150""","""Caloric Intake per day/kcal/day,Meal Frequency/meals/day,Physical Activity/days/week""","""500,3000,1,7,1,7""","""50,100,30,210""","""Weight/kg,Time/min""","""2024-09-18 21:36:19""","""2024-09-18 21:40:20""",66c9ddd382b0fcfdd04bd919,"""2024-09-18 21:52:35""","""minimize,minimize""",1,"""""","""""","""2024-09-18 21:16:48""","""1""",1,1,"""2024-09-18 21:25:39"""
38,"""""","""""","""""","""""","""""","""""","""""","""""","""""",605b45ef5df272b838aa2f66,"""""","""""",0,"""""","""""","""2024-09-18 21:35:31""","""2""",2,3,""""""
39,"""1877,1,2885,4,2337,2,1158,6,1344,3,2831,7,2274,0,3179,1,2300,1,3385,1,3426,0,1238,3,1223,3,2250,0,1758,1,2258,1,1117,2,1131,2,2286,0,3147,1,1434,2,2283,0,3445,5,2391,0,3445,5,2357,0,3445,5,2584,6,2390,0""","""1877,1,2885,4,2337,2,1158,6,1344,3,2831,7,1238,3,1223,3,1117,2,1131,2,1434,2,3445,5,3445,5,2584,6""","""2,1,3,3,3,1,9,5,7,2,5,5,8,2,7,2,6,3,8,4,7,2,2,4,2,4,6,3""","""calorie consupmtion/per/day,exercise/day/week""","""1000,3500,0,7""","""0,10,0,7""","""weight loss/kg,exhausted/day/week""","""2024-09-18 21:38:36""","""2024-09-18 21:39:47""",5e8a66381afb2c714058b57b,"""2024-09-18 21:46:33""","""minimize,minimize""",0,"""""","""""","""2024-09-18 21:34:27""","""1""",1,1,"""2024-09-18 21:35:40"""
40,"""2300,95,3000,160,1500,80,1700,90,2000,100,1600,110,1900,110,2150,90,1900,80,1550,81""","""2300,95,3000,160,1500,80,1700,90,2000,100,1600,110,1900,110,2150,90,1900,80,1550,81""","""2200,90,2200,120,1500,80,1600,85,1700,88,2000,99,1800,100,2100,115,1500,82,1650,105""","""Calories/KCal,Protein/Grams""","""1500,3000,80,160""","""1500,2200,80,120""","""Loose weight/KCal,Stay healthy/G""","""2024-09-18 21:39:49""","""2024-09-18 21:41:44""",659af84ac606f0ff4590cdf0,"""2024-09-18 21:49:19""","""minimize,maximize""",1,"""""","""9""","""2024-09-18 21:21:11""","""1""",2,1,"""2024-09-18 21:32:12"""
41,"""""","""""","""""","""""","""""","""""","""""","""""","""""",669149ece320eda076602872,"""""","""""",0,"""""","""""","""2024-09-18 21:32:21""","""2""",1,0,"""2024-09-18 21:30:22"""
42,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6658b384584cdcaff511fee6,"""""","""""",1,"""""","""""","""2024-09-18 21:24:21""","""1""",2,0,"""2024-09-18 21:27:02"""
43,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66b4d82eb366bf0cd1462959,"""""","""""",1,"""""","""""","""2024-09-18 21:26:54""","""1""",1,0,"""2024-09-18 21:34:37"""
44,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testreturn这之后manual就不好使了,"""""","""""",0,"""""","""""","""2024-09-18 21:26:15""","""1""",2,0,"""2024-09-18 21:28:01"""
45,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testreturn2,"""""","""""",0,"""""","""""","""2024-09-18 21:36:28""","""1""",1,0,"""2024-09-18 21:36:49"""
46,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testreturn3,"""""","""""",1,"""""","""""","""2024-09-18 21:40:49""","""1""",2,0,"""2024-09-18 21:43:38"""
47,"""""","""""","""""","""""","""""","""""","""""","""""","""""",testbad,"""""","""""",0,"""""","""""","""2024-09-18 21:45:09""","""1""",1,0,"""2024-09-18 21:46:31"""
48,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66b2564cf1b7e260cda6107d@email.prolific.com,"""""","""""",1,"""""","""""","""2024-09-18 21:49:22""","""1""",2,0,"""2024-09-18 22:02:02"""
49,"""""","""""","""""","""sadfas,fasdf""","""2,222,2,222""","""2,222""","""dasdf/2""","""2024-09-18 21:54:08""","""2024-09-18 21:54:17""",oiionkmlk,"""""","""minimize""",1,"""""","""""","""2024-09-18 21:53:11""","""1""",1,1,"""2024-09-18 21:53:47"""
50,"""""","""""","""""","""Weight loss/time,Calories/intake""","""1,1500,2,2500""","""""","""""","""2024-09-18 22:16:47""","""""",liarisbadbad,"""""","""""",0,"""""","""""","""2024-09-18 22:02:20""","""1""",2,1,"""2024-09-18 23:01:56"""
51,"""""","""""","""""","""""","""""","""""","""""","""""","""""",liarliarbadbad,"""""","""""",1,"""""","""""","""2024-09-18 22:03:03""","""1""",1,3,""""""
52,"""""","""""","""""","""dafsd,asdf""","""2,222,22,2222""","""1,111,1,111""","""sdafs,asdf""","""2024-09-18 23:00:52""","""2024-09-18 23:00:58""",nicelie,"""""","""minimize,minimize""",0,"""""","""""","""2024-09-18 23:00:02""","""1""",2,1,"""2024-09-18 23:00:25"""
53,"""1,2,1,2,3,2,2,1,1,1,3,2,1,1,2,2,3,1,2,2,2,1,4,1,2,1,1,1,3,1,2,2,1,2,1,2,2,1,1,2,4,2,1,1,1,1,4,2,1,2,1,1,2,2,2,3,2,1,2,2,1,2,1,2,3,1,2,2,2,2,1,1,1,3,1,2,4,1,1,2,1,2,2,1,1,4,1,1,3,1,2,4,1,1,4,1,2,3,2,2,3,1,2,2,1,2,4,2,2,1,1,1,4,2,2,1,1,1,4,2,1,2,1,1,3,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,1,2,2,4,1,1,2,1,2,2,1,1,4,1,1,2,1,1,3,1,2,2,1,1,2,2,1,3,2,2,2,1,1,2,1,2,1,1,1,4,2,2,4,1,1,3,1,2,2,2,2,3,2,1,3,1,1,2,1,2,2,1,2,4,2,1,1,1,1,2,1,1,3,1,1,4,1,1,4,2,1,3,2,2,2,2,1,2,2,1,2,2,1,2,2,1,4,2,1,2,1,2,1,1""","""1,2,1,2,3,2,2,1,1,1,3,2,1,1,2,2,3,1,2,2,2,1,4,1,2,1,2,2,4,2,1,4,2,1,2,2,1,2,2,1,2,1""","""2,2,3,2,1,4,1,1,2,1,2,3,1,2,4,1,1,3,1,1,2,2,2,3,2,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2""","""apple/1,tortilla/2,eggs/2""","""1,2,1,4,1,2""","""1,2,1,2,2,4""","""maintain glucose/pieces,loss weight,be more healthy""","""2024-09-18 23:10:25""","""2024-09-18 23:12:13""",646519741b4dcd85141f4363,"""2024-09-18 23:22:36""","""minimize,minimize,minimize""",0,"""非manual failed comprehension check 但是也通过吧""","""10""","""2024-09-18 23:07:27""","""2""",1,0,"""2024-09-18 23:06:43"""
54,"""1392,34,1296,66,1268,49,1435,77,1466,53,1220,89,1292,90,1291,90,1353,83,1329,36,1480,76,1398,60,1269,50,1363,34,1234,50,1475,59,1304,74,1328,90,1324,90,1319,90,1461,38""","""1392,34,1296,66,1268,49,1435,77,1466,53,1220,89,1292,90,1304,74,1328,90,1324,90""","""50,20,90,15,80,15,90,15,40,10,95,10,100,5,80,10,90,5,91,5""","""calorie intake,time taken to exercise /minutes""","""1200,1500,30,90""","""20,100,5,20""","""weight loss/kg,meal preparation time/minutes""","""2024-09-18 23:15:17""","""2024-09-18 23:17:18""",616c91d1cf8529d613c6074f,"""2024-09-18 23:22:54""","""maximize,minimize""",0,"""""","""""","""2024-09-18 23:07:52""","""2""",2,1,"""2024-09-18 23:08:07"""
55,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5c6dd18f4e08ad00018cc5f6,"""""","""""",1,"""""","""""","""2024-09-18 23:06:57""","""2""",1,3,""""""
56,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5f355c1eb1d3e10e9c4eb6a0,"""""","""""",0,"""""","""""","""2024-09-18 23:07:50""","""2""",2,3,""""""
57,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65084aef034ff0c5dbb3b237,"""""","""""",1,"""""","""""","""2024-09-18 23:02:43""","""1""",1,3,""""""
58,"""""","""""","""""","""""","""""","""""","""""","""""","""""",Catarina Silva,"""""","""""",0,"""""","""""","""2024-09-18 23:11:09""","""2""",2,0,"""2024-09-18 23:10:54"""
59,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66a0fc3af82cc2ac3af6136c,"""""","""""",0,"""""","""""","""2024-09-18 23:04:30""","""1""",1,0,"""2024-09-18 23:15:16"""
60,"""""","""""","""""","""""","""""","""""","""""","""""","""""",651eda4af4a809dbba0bb002,"""""","""""",1,"""""","""""","""2024-09-18 23:02:37""","""1""",2,0,"""2024-09-18 23:10:43"""
61,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66744f233a725490f4fa838f,"""""","""""",0,"""""","""""","""""","""""",1,3,""""""
62,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65c38dd02ac774d94638b0fd,"""""","""""",1,"""""","""""","""2024-09-19 00:10:01""","""2""",2,3,""""""
63,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66a419d1956e2eff851bcc13,"""""","""""",0,"""""","""""","""2024-09-18 23:30:17""","""2""",1,3,""""""
64,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5c60c298af517e0001a00b00,"""""","""""",1,"""""","""""","""2024-09-18 23:03:20""","""1""",2,3,""""""
65,"""""","""""","""""","""""","""""","""""","""""","""""","""""",try your best,"""""","""""",0,"""""","""""","""""","""""",1,3,""""""
66,"""""","""""","""""","""""","""""","""""","""""","""""","""""",60cd29821711a41cf8d42a92,"""""","""""",1,"""""","""""","""2024-09-18 23:05:04""","""1""",2,3,""""""
67,"""""","""""","""""","""""","""""","""""","""""","""""","""""",668160718863c81db12f7716,"""""","""""",0,"""""","""""","""2024-09-18 23:03:13""","""1""",1,0,"""2024-09-18 23:07:18"""
68,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66a2c68a44e8026f80ef1798,"""""","""""",1,"""""","""""","""2024-09-18 23:50:22""","""2""",2,3,"""2024-09-18 23:50:08"""
69,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65200d9957bd016575e917d9,"""""","""""",1,"""""","""""","""2024-09-18 23:08:12""","""2""",1,3,""""""
70,"""""","""""","""""","""""","""""","""""","""""","""""","""""",663b8164ac148ec74b884ed5,"""""","""""",0,"""""","""""","""2024-09-18 23:36:27""","""2""",2,3,""""""
71,"""""","""""","""""","""""","""""","""""","""""","""""","""""",615222831e25d7ca27cd2c5a,"""""","""""",1,"""""","""""","""2024-09-18 23:13:13""","""2""",1,3,""""""
72,"""3509,2,2415,4,1305,1,3119,5,2724,2,1724,4,4000,5,3850,5,3700,5,3642,5,4000,4""","""3509,2,2415,4,1305,1,3119,5,2724,2,1724,4,4000,5,3850,5,3700,5,3642,5""","""75,600,65,400,60,100,72,800,64,350,61,250,70,1000,67,900,66,800,65,750""","""Calories per day/kcal,Number of Meals/Meals per Day""","""1000,4000,1,5""","""60,90,100,1000""","""Weight/Kg,Satisfaction""","""2024-09-18 23:28:19""","""2024-09-18 23:30:07""",66bf53e2ef5b173ca081dc55,"""2024-09-18 23:36:59""","""minimize,maximize""",0,"""failed comprehension check""","""7""","""2024-09-18 23:15:38""","""2""",2,0,"""2024-09-18 23:13:29"""
73,"""""","""""","""""","""""","""""","""""","""""","""""","""""",615dbbcfc8738e5f165e86f2,"""""","""""",0,"""""","""""","""2024-09-18 23:13:22""","""2""",1,3,""""""
74,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5f875fd7fa04e81765e7207b,"""""","""""",1,"""""","""""","""2024-09-18 23:17:11""","""2""",2,3,""""""
75,"""3,22,8,16,8,24,6,18,5,24,9,20,3,20,3,24,3,24,9,16,7,16,10,17,10,15,10,16,9,15""","""3,22,8,16,8,24,6,18,5,24,9,20,3,20,3,24,10,15,10,16""","""200,30,300,20,400,15,500,30,600,35,800,40,500,15,650,20,500,50,700,40""","""EXERCISE/kg,FRUITS ""","""3,10,15,25""","""50,1000,10,50""","""gym cost /usd ,eating /Month""","""2024-09-18 23:46:18""","""2024-09-18 23:51:38""",66a9fe50e4465f3d99e95fc2,"""2024-09-19 00:26:53""","""minimize,maximize""",0,"""""","""0""","""2024-09-18 23:06:39""","""1""",1,1,"""2024-09-18 23:18:53"""
76,"""8,5,6,5,6,7,9,3,9,6,5,4,5,6,9,4,8,3,10,4,10,4,10,4,10,3,5,5,5,5,7,4,6,4,6,4""","""8,5,6,5,6,7,9,3,9,6,5,4,10,4,10,4,5,5,6,4""","""43,12,41,12,44,14,42,12,41,11,45,15,43,12,44,14,42,12,45,15""","""Meat,fruits""","""5,10,3,7""","""40,45,10,15""","""gains,immune""","""2024-09-18 23:25:26""","""2024-09-18 23:27:19""",6129d3b046b1f98f16b1d9d3,"""2024-09-19 00:12:15""","""minimize,maximize""",0,"""非manual""","""5""","""2024-09-18 23:06:27""","""1""",2,1,"""2024-09-18 23:08:57"""
77,"""""","""""","""""","""""","""""","""""","""""","""""","""""",5d2379de7e17470018e1ca8a,"""""","""""",1,"""""","""""","""2024-09-18 23:07:37""","""1""",1,0,"""2024-09-18 23:16:22"""
78,"""""","""""","""""","""""","""""","""""","""""","""""","""""",66e7380b8e2dcf573801cbe8,"""""","""""",0,"""""","""""","""2024-09-18 23:26:50""","""2""",2,3,""""""
79,"""""","""""","""""","""""","""""","""""","""""","""""","""""",61241e1a198915b4d476c719,"""""","""""",1,"""""","""""","""2024-09-18 23:21:59""","""1""",1,0,"""2024-09-18 23:23:56"""
80,"""""","""""","""""","""""","""""","""""","""""","""""","""""",65a3ec77f674ac3e98f0c6ac,"""""","""""",0,"""""","""""","""""","""""",2,3,""""""
81,"""89,17,51,55,100,96,64,88,41,57,97,99,19,81,32""","""89,17,51,55,100,81""","""50,50,50,55,50,100""","""/kgs""","""10,100""","""50,100""","""/kg""","""2024-09-18 23:51:19""","""2024-09-18 23:51:25""",665b20a23dc8db25359ef6a4,"""2024-09-18 23:58:18""","""minimize""",0,"""""","""4""","""2024-09-18 23:17:16""","""1""",1,1,"""2024-09-18 23:50:20"""
82,"""""","""""","""""","""""","""""","""""","""""","""""","""""",60f43127b2b2e32120869426,"""""","""""",1,"""""","""""","""2024-09-18 23:20:29""","""1""",2,0,"""2024-09-18 23:28:37"""
83,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6157ea2bc310cfa8c29478f6,"""""","""""",0,"""""","""""","""2024-09-18 23:24:03""","""1""",1,3,""""""
